exp L1: 150 runs, 42 simulated days each
  5/150 done, 1.5 min elapsed, eta 44 min
  10/150 done, 3.1 min elapsed, eta 43 min
  15/150 done, 5.0 min elapsed, eta 45 min
  20/150 done, 6.6 min elapsed, eta 43 min
  25/150 done, 8.7 min elapsed, eta 44 min
  30/150 done, 9.0 min elapsed, eta 36 min
  35/150 done, 10.8 min elapsed, eta 36 min
  40/150 done, 12.4 min elapsed, eta 34 min
  45/150 done, 15.0 min elapsed, eta 35 min
  50/150 done, 15.9 min elapsed, eta 32 min
  55/150 done, 16.7 min elapsed, eta 29 min
  60/150 done, 16.8 min elapsed, eta 25 min
  65/150 done, 17.6 min elapsed, eta 23 min
  70/150 done, 18.3 min elapsed, eta 21 min
  75/150 done, 19.1 min elapsed, eta 19 min
  80/150 done, 19.9 min elapsed, eta 17 min
  85/150 done, 20.7 min elapsed, eta 16 min
  90/150 done, 20.9 min elapsed, eta 14 min
  95/150 done, 21.8 min elapsed, eta 13 min
  100/150 done, 22.5 min elapsed, eta 11 min
  105/150 done, 23.5 min elapsed, eta 10 min
  110/150 done, 24.3 min elapsed, eta 9 min
  115/150 done, 25.1 min elapsed, eta 8 min
  120/150 done, 25.3 min elapsed, eta 6 min
  125/150 done, 25.9 min elapsed, eta 5 min
